Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
bds,VIC,77.2(-0.2),737,105,2%,6%,18.8,411%,1.3,"2,637,707,954","624,438,089(24%)","204,159"
bds,NVL,65.1(1.8),"2,278",27.8,3%,12%,21.1,299%,0.2,"622,828,788",0(0%),"39,425"
bds,REE,41.1(0.2),"5,439",7.5,13%,21%,27,152%,1.4,"305,056,367","151,928,832(50%)","12,681"
bds,SDI,87(-0.2),"4,963",17.5,5%,22%,22.1,394%,0,"287,989,920","58,486,842(20%)","10,440"
bds,KDH,27.4(-0.2),"1,431",19.2,6%,11%,20.5,134%,0,"336,000,000","88,200,000(26%)","9,240"
bds,PDR,35.7(-0.1),"1,865",19.1,4%,16%,11.8,302%,0.3,"221,990,923","98,886,885(45%)","7,925"
bds,HAG,7.4(-0.1),709,10.5,2%,6%,19.6,38%,1,"927,467,947","336,368,351(36%)","6,910"
bds,KBC,13.4(0),"1,236",10.8,4%,7%,19.3,69%,0.6,"469,760,512","233,098,471(50%)","6,375"
bds,DXG,21.5(0.9),"2,841",7.3,12%,27%,14.9,138%,1.1,"303,134,686","57,459,149(19%)","6,246"
bds,NHN,30(0),"12,251",2.4,7%,29%,51.6,58%,0,"200,000,000","98,000,000(49%)","6,000"
bds,DIG,20.6(0.2),346,59,1%,3%,11.9,171%,0.6,"238,194,819","113,530,461(48%)","4,859"
bds,NLG,30(-0.1),"3,400",8.9,9%,18%,22.9,131%,0.5,"157,226,409","69,636,109(44%)","4,733"
bds,FLC,6.9(-0.0),862,8.1,3%,7%,13.4,52%,0.5,"638,038,737","259,637,051(41%)","4,447"
bds,QCG,14.9(0.9),"1,571",8.9,4%,11%,14.9,94%,1.1,"275,129,310","134,813,361(49%)","3,852"
bds,SJS,30(-1),472,65.7,1%,2%,20.1,154%,0.5,"99,041,940","49,000,000(49%)","3,100"
bds,ITA,3.3(-0.0),65,50.2,0%,1%,11,30%,0.7,"937,883,609","410,765,520(44%)","3,059"
bds,HDG,34.3(0),"1,736",19.8,2%,10%,24.2,142%,0.2,"75,968,080","33,841,077(45%)","2,606"
bds,SCR,9.2(-0.1),410,22.7,1%,3%,14.6,64%,0.9,"243,872,424","106,363,875(44%)","2,268"
bds,IDI,10.9(-0.4),"1,294",8.7,4%,10%,13.1,86%,1.4,"181,609,671","88,988,738(49%)","2,043"
bds,NBB,18.9(-1.1),939,21.3,2%,6%,24.4,82%,1.4,"95,772,699","28,577,388(30%)","1,918"
bds,CEO,10(-0.1),"1,036",9.7,5%,12%,14.1,72%,0.4,"154,403,991","50,438,637(33%)","1,559"
bds,IJC,9.9(0.1),"1,367",7.1,2%,12%,11.9,82%,0.6,"137,097,323","134,355,317(98%)","1,337"
bds,HQC,2.6(0),203,13,1%,2%,9.6,27%,0.6,"476,600,000","209,034,000(44%)","1,258"
bds,TDH,14.7(0),"2,012",7.3,6%,9%,22,67%,0.6,"81,454,867","34,784,306(43%)","1,200"
bds,SGR,30(1),"7,038",4.1,21%,49%,14.3,203%,0,"39,599,989","6,468,000(16%)","1,148"
bds,SHN,9.7(0.1),888,10.8,5%,7%,13.7,70%,0.3,"123,436,278","20,755,596(17%)","1,129"
bds,DLG,3.6(-0.1),252,14.7,1%,2%,11.8,31%,1,"285,057,815","107,401,197(38%)","1,055"
bds,ITC,13.7(-0.3),"1,346",10.4,3%,6%,22.8,61%,-0.1,"68,646,328","33,852,477(49%)",967
bds,DRH,19(-0.3),"2,033",9.5,11%,15%,13.7,140%,-0.2,"48,714,150","24,010,000(49%)",943
bds,LCG,10.9(-0.1),"1,219",9,4%,10%,14,79%,-0.1,"78,000,000","37,362,478(48%)",858
bds,HDC,16.5(-0.1),"1,910",8.6,6%,13%,15.4,107%,0.5,"45,078,437","20,145,467(45%)",744
bds,TDC,7.4(0),"1,835",4,2%,17%,11.2,66%,-0.3,"100,000,000","49,000,000(49%)",738
bds,SZL,36.9(0.4),"4,941",7.4,6%,18%,27.8,131%,0.1,"18,190,900","9,800,000(54%)",730
bds,NTL,10.9(0.1),"1,852",5.8,7%,12%,15.4,70%,0.7,"60,989,950","31,164,000(51%)",687
bds,D2D,64(0),"5,624",11.4,4%,14%,40.3,159%,0.8,"10,654,984","5,243,000(49%)",685
bds,OGC,2.0(0.0),"-1,707",-1.2,-9%,-57%,3.2,63%,-0.3,"300,000,000","147,000,000(49%)",603
bds,VPH,11.2(-0.1),"3,712",3,12%,28%,15.7,71%,-0.3,"63,579,701","22,203,210(35%)",596
bds,IDV,32.6(-0.1),"4,997",6.5,11%,42%,16.7,196%,0.2,"16,172,549","5,666,960(35%)",529
bds,LEC,20.5(0.7),"1,008",19.6,4%,8%,13.2,150%,0.4,"26,100,000",0(0%),517
bds,KAC,21.3(0),111,191.4,1%,1%,11.9,178%,-0.3,"23,999,999","11,759,999(49%)",510
bds,LHG,17(-0.1),"3,205",5.3,10%,23%,25.6,67%,0.8,"27,368,654","12,780,487(47%)",467
bds,NDN,10.7(-0.1),"1,712",6.3,10%,14%,12.3,88%,0.4,"42,136,994","20,647,127(49%)",455
bds,LGL,11.5(-0.1),573,20.2,1%,5%,13.4,87%,0.5,"34,593,784","9,799,644(28%)",401
bds,SC5,25.1(-0.4),"4,258",6,3%,19%,22.5,113%,-0.1,"14,984,543","7,342,429(49%)",382
bds,NVT,3.4(-0.1),"-3,345",-1,-28%,-49%,6.4,54%,1.6,"90,500,000","44,345,000(49%)",312
bds,TIG,3.9(-0.1),233,17.2,2%,2%,11.2,36%,0.6,"77,243,250","33,320,000(43%)",309
bds,TKC,26(0.1),"2,539",10.2,3%,17%,15.2,170%,0.3,"10,732,232","5,577,293(52%)",295
bds,UIC,33.5(0.5),"7,916",4.2,15%,26%,30.6,108%,-0.3,"8,000,000","3,920,000(49%)",264
bds,SDU,12.4(-0.3),160,79.4,0%,1%,17.2,74%,-2.7,"20,000,000","9,800,000(49%)",254
bds,RCL,22.4(0),"1,336",16.8,3%,5%,28.1,80%,0.5,"7,559,358","2,469,457(33%)",169
bds,RCD,31.8(0),0,0,28%,65%,0,0%,0,"5,300,062","2,597,030(49%)",169
bds,DTA,10.1(0),214,47.2,1%,2%,10.2,99%,2.4,"15,000,000","4,900,000(33%)",152
bds,NHA,11.5(0.2),"1,681",6.7,14%,15%,11.4,99%,0.3,"12,759,997","5,684,000(45%)",144
bds,UDC,3.8(-0.0),"1,254",3,4%,11%,11.8,32%,-0.4,"34,706,000","17,150,000(49%)",132
bds,PVL,2.6(0),"-2,764",-0.9,-24%,-67%,4.1,63%,1.3,"50,000,000","24,500,000(49%)",130
bds,VCR,3.3(0),-403,-8.2,-2%,-5%,8.6,38%,1.2,"35,240,000","17,640,000(50%)",119
bds,CLG,5.0(-0.2),96,54.2,0%,1%,11.9,44%,0.6,"21,150,000","10,363,500(49%)",110
bds,PPI,2.1(0.0),-477,-4.4,-3%,-5%,10,21%,0.9,"48,290,629","23,662,408(49%)",102
bds,VNI,9(0),0,0,-7%,-29%,0,0%,0.2,"10,337,276","5,169,582(50%)",95
bds,D11,14(0.8),209,63.2,1%,1%,14,94%,-0.7,"6,551,965","2,140,308(33%)",86
bds,IDJ,2.3(-0.1),-25,-96,0%,0%,8.3,29%,1.1,"32,600,000","15,974,000(49%)",78
bds,PFL,1.5(0.1),-74,-18.9,-1%,-1%,7.2,19%,1.3,"50,000,000","24,427,400(49%)",70
bds,DLR,8.6(0),"-2,229",-3.9,-8%,-48%,4.6,187%,0.4,"4,500,000","2,205,000(49%)",39
caosu,HNG,9.4(-0.2),"1,064",9,3%,8%,13.5,71%,0.9,"767,143,895","375,900,508(49%)","7,334"
caosu,PHR,43.4(-0.4),"5,052",8.7,10%,17%,30.2,145%,1,"78,975,047","39,837,000(50%)","3,557"
caosu,DRC,24.1(0.2),"2,053",11.7,9%,16%,12.8,186%,0.5,"118,792,605","58,208,376(49%)","2,845"
caosu,DPR,38.9(-0.3),"6,308",6.2,8%,11%,61.2,64%,0.4,"43,000,000","21,070,000(49%)","1,686"
caosu,BRR,14.5(0),440,33,3%,4%,10.5,138%,0,"112,500,000",0(0%),"1,631"
caosu,CSM,15.7(0),"1,266",12.4,3%,11%,11.9,132%,0.2,"103,625,925","50,776,968(49%)","1,627"
caosu,HRC,35.5(0),226,157.1,1%,1%,17.6,201%,0.2,"30,206,616","14,801,244(49%)","1,072"
caosu,RTB,10.2(0),"3,536",2.9,12%,17%,20.7,49%,0,"87,945,000",0(0%),897
caosu,DRI,11.9(-0.2),"1,989",6.1,10%,17%,11.9,101%,0,"73,200,000",0(0%),886
caosu,TRC,28.8(0.1),"4,162",6.9,7%,8%,50.4,57%,0.4,"29,600,000","14,700,000(50%)",861
caosu,SRC,12.8(0),"1,574",8.1,5%,12%,12.7,101%,0.5,"28,065,765","9,823,233(35%)",359
caosu,TNC,11.5(0),"1,277",9,7%,8%,16,72%,0.1,"19,250,000","9,432,500(49%)",221
caosu,VHG,1.5(0.0),"-1,964",-0.7,-20%,-21%,9.6,15%,1.1,"150,000,000","73,500,000(49%)",218
caosu,RCD,31.8(0),0,0,28%,65%,0,0%,0,"5,300,062","2,597,030(49%)",169
caosu,RBC,14.6(0),0,0,1%,2%,0,0%,0,"10,030,308","4,914,850(49%)",146
caosu,BRC,9.6(-0.0),"1,720",5.6,8%,11%,15.5,62%,0.7,"12,374,997","6,063,748(49%)",119
caosu,VRG,5.2(0.6),111,41.4,1%,1%,9.9,46%,0,"25,894,868","12,688,485(49%)",119
caosu,CDR,12.3(0),0,0,2%,7%,0,0%,0,"1,600,000",0(0%),20
ck,SSI,28.6(-0.1),"1,852",15.5,5%,10%,18.2,158%,1.7,"490,063,684","480,063,684(98%)","14,040"
ck,VCI,77.9(3.8),"4,841",15.3,11%,22%,22.1,335%,-0.2,"120,000,000",0(0%),"8,892"
ck,HCM,60(-0.3),"3,425",17.6,9%,17%,20.2,299%,1.4,"129,521,213","62,355,811(48%)","7,824"
ck,VND,26.2(0.1),"2,886",9,7%,19%,15.3,170%,1.6,"154,998,165","75,949,100(49%)","4,045"
ck,KLB,10.2(0.3),0,0,0%,0%,11.5,87%,0,"300,000,000",0(0%),"3,000"
ck,SHS,21.2(0.2),"2,917",7.2,6%,21%,13.7,154%,2.6,"100,000,000","49,000,000(49%)","2,100"
ck,MBS,14.3(-0.1),159,90.6,0%,2%,10.5,137%,1.7,"122,124,280","59,840,897(49%)","1,759"
ck,BVS,21.3(0),"1,620",13.1,6%,7%,22.9,93%,0.7,"72,223,837","35,394,629(49%)","1,539"
ck,BSI,13.9(0.5),"1,931",7,10%,17%,12.1,112%,1.1,"97,637,917","42,385,000(43%)","1,251"
ck,AGR,6.1(0.4),379,15,4%,5%,8.3,68%,1.1,"211,200,000","103,880,000(49%)","1,202"
ck,FTS,12.3(0.2),2,"6,050",0%,0%,0,0%,0.7,"99,376,952",0(0%),"1,202"
ck,CTS,12(-0.1),"1,102",11,6%,9%,11.6,104%,1.3,"97,652,936","41,027,865(42%)","1,182"
ck,VIX,10.5(-0.2),844,12.7,4%,7%,12,89%,1.3,"73,604,580","34,349,080(47%)",788
ck,VDS,10(0.4),946,10.2,5%,11%,11.5,84%,-0.5,"91,000,000","34,300,000(38%)",673
ck,TVS,11.2(0.4),"2,338",4.6,8%,19%,12.4,87%,0.4,"55,229,291","23,345,505(42%)",628
ck,FSC,11.2(0),637,17.6,5%,5%,11.8,95%,0,"30,000,000",0(0%),336
ck,IVS,10(0.3),10,970,0%,0%,10.1,96%,0.7,"34,000,000","7,889,000(23%)",330
ck,TVB,18.7(0),"1,115",16.9,9%,11%,16.3,115%,0,"15,020,000","4,704,000(31%)",282
ck,PSI,4.1(-0.2),205,21,2%,2%,10.1,42%,0.5,"59,841,300","29,322,237(49%)",257
ck,SBS,2.3(0.3),-7,-285.7,0%,0%,1.6,125%,1.7,"126,660,000","61,118,477(48%)",253
ck,WSS,4(0),-122,-32.8,-1%,-1%,10.8,37%,0.7,"50,300,000","24,647,000(49%)",201
ck,APS,3.3(0.1),319,10,3%,3%,9.7,33%,1.3,"39,000,000","39,000,000(100%)",125
ck,HAC,4(0),0,0,0%,0%,0,0%,0,"29,181,096",0(0%),120
ck,VIG,3.3(0),-43,-76.7,-1%,-1%,6.4,52%,1.6,"34,133,300","16,725,317(49%)",113
ck,HBS,2.8(0.1),73,37,1%,1%,11.3,24%,1.2,"32,999,980","16,169,990(49%)",89
ck,APG,5.2(-0.1),349,15.2,3%,3%,10.4,51%,0.5,"13,528,900","6,629,161(49%)",72
congnghe,FPT,57.1(-0.1),"4,084",14,9%,21%,24.5,233%,1.1,"530,935,850","225,119,075(42%)","30,371"
congnghe,FOX,74.5(-0.3),"6,219",12,13%,29%,24.1,311%,0,"150,783,259",0(0%),"11,294"
congnghe,CMG,29(1.2),"2,411",11.5,8%,17%,17.9,155%,0.4,"67,242,694","32,997,556(49%)","1,872"
congnghe,SAM,7.3(0.0),186,39.3,1%,2%,13.9,52%,1.2,"241,785,703","88,315,314(37%)","1,767"
congnghe,ELC,13.9(-0.7),"1,241",11.8,6%,8%,16.5,89%,0.4,"50,928,243","22,832,713(45%)",744
congnghe,SGT,7(0),"2,157",3.2,9%,26%,8.2,85%,0.4,"74,001,604","36,260,937(49%)",518
congnghe,ST8,20(0),"1,341",14.9,9%,12%,13.2,152%,0.7,"25,659,902","9,694,919(38%)",514
congnghe,POT,22(1.4),"1,485",13.9,1%,9%,16.4,125%,0.7,"19,286,346","9,520,702(49%)",400
congnghe,CNC,35(0),0,0,19%,25%,0,0%,0,"9,470,357","4,590,174(48%)",331
congnghe,ABC,14.8(-0.2),"16,401",0.9,53%,63%,26.4,56%,0,"20,393,000","9,060(0%)",304
congnghe,VEC,6.3(-0.2),-135,-48.9,0%,0%,16.2,41%,0,"43,800,000",0(0%),289
congnghe,ITD,13.9(-0.6),"2,969",4.9,17%,27%,14.6,99%,0.5,"22,875,876","7,509,238(33%)",275
congnghe,TTN,5.5(0.3),"1,057",4.9,9%,15%,7.2,73%,0,"24,485,000",0(0%),127
congnghe,SMT,18.6(-1.4),"1,867",10.7,5%,12%,15.8,127%,0.3,"5,467,432","2,195,935(40%)",109
congnghe,UNI,6(0.2),14,414.3,0%,0%,10.4,56%,0.7,"15,316,032","7,652,639(50%)",91
congnghe,CNN,12.7(0),0,0,3%,13%,0,0%,0,"6,800,000","2,156,000(32%)",86
congnghe,CMT,10.5(0.5),"1,281",7.8,3%,7%,19.1,52%,0.4,"7,283,370","3,920,000(54%)",80
congnghe,CKV,17.7(0),"1,302",13.6,3%,6%,21,84%,0.4,"4,050,000","1,984,500(49%)",72
congnghe,SVT,6.5(0.1),253,25.5,2%,2%,12,54%,0.1,"10,526,937","5,158,199(49%)",68
congnghe,HPT,7.7(0),0,0,2%,10%,15.4,50%,0,"7,379,228","3,177,423(43%)",58
congnghe,KST,18.6(1.6),"2,903",5.9,6%,14%,20.1,84%,-0.1,"2,996,010","1,468,044(49%)",51
congnghe,ADC,16(0),"2,593",6.2,6%,17%,14.9,107%,0.9,"3,060,000","1,499,400(49%)",49
congnghe,IFC,13.8(1.6),22,554.5,-1%,7%,-9.4,-130%,0,"3,000,000","1,470,000(49%)",37
congnghe,ONE,4.9(0.2),574,8.2,1%,5%,13.4,35%,0.5,"7,960,310","3,546,118(45%)",37
congnghe,VTC,9(0.8),"1,611",5.1,5%,17%,18.5,44%,-0.6,"4,534,696","2,222,001(49%)",37
congnghe,TTZ,4.7(0.4),200,21.5,1%,2%,11.4,38%,1.6,"7,000,000","2,572,500(37%)",30
congnghe,TST,5(0),949,5.3,2%,5%,21.5,23%,0.3,"4,800,000","2,352,000(49%)",24
congnghe,SRA,8.5(0),"2,791",3,26%,33%,8.5,101%,-0.5,"2,000,000","980,000(49%)",17
congnghe,VIE,11(0),-194,-56.7,-2%,-3%,6.4,171%,0.5,"1,561,244","765,009(49%)",17
congnghe,VLA,16(1.2),"1,545",9.6,10%,11%,14.6,102%,-0.6,"1,080,000","529,200(49%)",16
congnghe,VAT,3.5(0),-166,-21.1,-1%,-1%,12.3,28%,0.7,"4,544,976","2,057,900(45%)",15
congnghe,LTC,3.3(0),-884,-3.7,-1%,-3%,28.9,11%,1,"4,586,000","2,247,140(49%)",15
dichvu,VEF,62.8(0.4),280,222.9,3%,3%,10.7,585%,0,"166,604,050","81,635,984(49%)","10,396"
dichvu,DL1,67.7(2),101,650.5,4%,5%,11.8,556%,-0.1,"101,177,353","7,457,141(7%)","6,647"
dichvu,PAN,36(0.1),"3,056",11.8,8%,11%,36.3,99%,0.3,"117,723,630","49,427,523(42%)","4,232"
dichvu,SKG,31.7(0.1),"4,239",7.4,25%,25%,16.7,189%,1.1,"47,979,437","16,792,908(35%)","1,514"
dichvu,OCH,7(0),-356,-19.7,-2%,-6%,5.6,126%,1.6,"200,000,000","98,000,000(49%)","1,400"
dichvu,VNG,16.1(-0.1),350,46.3,2%,4%,12.2,133%,0.3,"75,205,000","6,370,000(8%)","1,218"
dichvu,HAX,36.6(-0.6),"3,177",11.7,5%,20%,15.6,239%,0.5,"23,342,433","5,446,922(23%)",868
dichvu,BTV,35(2.3),597,55.4,3%,6%,10.8,306%,0,"25,000,000",0(0%),827
dichvu,TCT,62.9(0),"5,493",11.5,24%,25%,21.6,292%,0.2,"12,788,000","6,266,120(49%)",804
dichvu,DSN,64.7(-0.6),"6,767",9.6,35%,37%,18.3,357%,-0.1,"12,083,009","5,920,674(49%)",789
dichvu,SGH,39.3(0),978,40.2,8%,8%,11.8,332%,-0.5,"12,364,100","1,730,974(14%)",486
dichvu,MSC,13(0),"1,654",7.9,4%,9%,17.7,74%,-0.6,"22,500,000",0(0%),292
dichvu,BDP,10(0),-16,-625,0%,0%,9.7,104%,0,"25,000,000",0(0%),250
dichvu,VTG,8.5(0),10,850,0%,1%,9.5,90%,0,"18,644,500","9,135,805(49%)",158
dichvu,HOT,17.9(0),"1,510",11.9,8%,11%,13.7,130%,-1.4,"8,000,000","3,920,000(49%)",143
dichvu,DCD,12.5(1.3),240,46.7,4%,5%,10.8,104%,0,"11,294,323","5,528,968(49%)",126
dichvu,HES,13(0),175,74.3,3%,3%,12.2,107%,0,"9,297,450",0(0%),121
dichvu,FDT,39.2(0),"2,340",16.8,4%,20%,11.8,333%,0.1,"3,054,500","1,496,705(49%)",120
dichvu,TTR,50(0),483,103.5,1%,1%,9.6,522%,0,"1,993,393","976,762(49%)",100
dichvu,CMS,4.8(0),384,12.5,2%,4%,12.3,39%,0.3,"17,200,000","8,428,000(49%)",83
dichvu,VIR,9.6(0),0,0,8%,9%,0,0%,0,"8,240,000","4,037,600(49%)",79
dichvu,DLD,7.5(0),-165,-45.5,-1%,-2%,8.3,91%,0,"9,307,415","4,560,633(49%)",70
dichvu,PDC,4(0),502,8,4%,5%,9.8,41%,0.1,"15,000,000","7,350,000(49%)",60
dichvu,VCM,18.2(0),"2,745",6.6,6%,13%,21.5,85%,0.5,"3,000,000","1,470,000(49%)",55
dichvu,MTC,9.7(0),0,0,1%,1%,0,0%,0,"5,200,000","2,548,000(49%)",50
dichvu,BSC,14.4(0),328,43.9,2%,3%,11.5,125%,-1,"3,150,747","1,543,866(49%)",45
dichvu,CPH,8.3(0),"2,345",3.5,9%,18%,11.6,72%,0,"4,400,000",0(0%),37
dichvu,BRS,7.2(0),"1,779",4,10%,15%,10.9,66%,0,"4,541,950",0(0%),33
dichvu,CTC,3.4(0),622,5.5,2%,6%,10.6,32%,-0.4,"8,799,926","4,311,963(49%)",30
dichvu,DLT,11.6(0),"4,587",2.5,2%,22%,0,0%,0,"2,500,056","1,224,027(49%)",29
dichvu,MVY,5.4(0),0,0,2%,4%,0,0%,0,"3,969,946",0(0%),21
dvci,BWE,22.6(-0.2),988,23,1%,5%,21.6,105%,1.2,"150,000,000",0(0%),"3,405"
dvci,VCW,37(0.3),"3,301",11.2,16%,20%,16.1,229%,0,"50,000,000",0(0%),"1,845"
dvci,DNW,15(0.5),"1,971",7.4,6%,16%,12.8,113%,0,"100,000,000","9,499,200(9%)","1,450"
dvci,TTD,69(0),"4,036",17.1,23%,29%,13.7,503%,0,"15,552,000",0(0%),"1,073"
dvci,SWC,12.6(0),"6,855",1.9,35%,41%,16.9,75%,0,"67,100,000","32,864,000(49%)",852
dvci,HPW,10.3(0.1),952,10.7,6%,9%,11.7,87%,0,"74,206,940",0(0%),757
dvci,TDM,18(0.5),995,17.6,3%,8%,12.6,138%,0,"56,100,000","14,700,000(26%)",525
dvci,KHW,12.4(0),"1,135",10.9,5%,10%,11.5,108%,0,"26,000,000",0(0%),322
dvci,PWS,8.6(0),654,13.1,4%,6%,10.8,80%,0,"23,600,000",0(0%),203
dvci,CMW,10.6(0),435,24.4,1%,4%,10.3,103%,0,"15,534,900",0(0%),165
dvci,TNW,9(0),294,30.6,1%,2%,15.8,57%,0,"16,000,000",0(0%),144
dvci,QNU,10(0),0,0,2%,3%,0,0%,0,"6,800,000",0(0%),68
dvci,MPY,10.5(0),0,0,8%,9%,0,0%,0,"6,143,000",0(0%),65
dvci,UPC,21.2(2.7),0,0,8%,17%,0,0%,0,"3,400,000",0(0%),63
dvci,PYU,11.5(0),0,0,1%,1%,0,0%,0,"2,073,985",0(0%),24
duocpham,DHG,115(-1.3),"5,648",20.6,18%,26%,21.7,536%,0.6,"130,735,941","42,710,521(33%)","15,206"
duocpham,DVN,20.8(0.1),719,28.9,3%,8%,10.4,200%,0,"237,000,000",0(0%),"4,930"
duocpham,TRA,117(1),"5,351",21.7,17%,21%,27.2,427%,0.1,"41,450,983","16,927,302(41%)","4,809"
duocpham,DMC,115.6(-0.9),"5,727",20.3,18%,21%,27.5,424%,1,"34,727,465","17,016,457(49%)","4,046"
duocpham,IMP,65(-0.9),"2,937",22.4,8%,9%,32.3,204%,0.1,"42,978,151","14,181,896(33%)","2,832"
duocpham,DGC,32.8(-0.7),"4,133",8.1,12%,17%,31.1,108%,0.6,"50,008,875","24,504,348(49%)","1,675"
duocpham,CSV,37.8(-0.1),"4,871",7.8,22%,28%,17.6,215%,-0.2,"44,200,000","21,658,000(49%)","1,673"
duocpham,DGL,33(0),"2,330",14.2,7%,12%,19.4,170%,0.6,"46,399,888","22,735,945(49%)","1,531"
duocpham,OPC,60(1.5),"3,480",16.8,8%,15%,24.2,241%,0.4,"25,311,696","12,402,731(49%)","1,481"
duocpham,DCL,22.8(0.3),"1,626",13.8,9%,12%,13.6,165%,1.5,"56,832,824","27,603,083(49%)","1,279"
duocpham,HAI,7.4(-0.0),373,19.8,3%,5%,11.8,63%,0.2,"184,327,493","57,476,663(31%)",867
duocpham,DHT,67(-1.4),"5,464",12.5,13%,34%,17.9,381%,0,"12,563,691","3,078,474(25%)",859
duocpham,VFG,33.5(0),"4,891",6.8,7%,15%,33.2,101%,-0.1,"23,759,979","8,959,863(38%)",796
duocpham,PMC,68(0),"7,885",8.6,24%,29%,27.3,249%,0.1,"9,332,573","4,572,960(49%)",635
duocpham,DP3,74.3(0.3),"4,549",16.3,12%,22%,20.8,356%,-1,"6,800,000","3,332,000(49%)",503
duocpham,JVC,4.1(-0.1),80,51.9,1%,2%,4.7,88%,0,"112,500,171","55,125,083(49%)",467
duocpham,AMV,16.5(-0.3),65,258.5,1%,1%,11.6,145%,-0.1,"27,115,750","1,036,717(4%)",456
duocpham,VPS,19(1.1),"1,983",9.1,9%,14%,14.4,124%,0.1,"24,460,792","8,561,277(35%)",439
duocpham,VMD,26(0),"2,134",12.2,0%,9%,23.9,109%,0.1,"15,440,268","4,135,731(27%)",401
duocpham,UPH,21(-4),334,74.9,1%,3%,12.3,203%,0,"13,294,641",0(0%),332
duocpham,AMP,19(0),"1,063",17.9,1%,8%,12.8,149%,0,"13,000,000",0(0%),247
duocpham,LDP,31(0),"2,520",12.3,6%,18%,13.7,226%,1.1,"7,829,958","1,665,979(21%)",243
duocpham,DP2,12(1.4),74,143.2,0%,1%,10.1,105%,0,"20,000,000",0(0%),212
duocpham,DHD,32.4(-0.3),"1,088",30.1,10%,20%,34.1,96%,0,"6,000,000",0(0%),196
duocpham,DBT,16(0.7),"1,807",8.5,3%,9%,18.9,81%,-0.1,"12,314,494","3,772,905(31%)",188
duocpham,NDP,33(0),"3,277",10.1,9%,14%,24.3,136%,0,"6,105,000","2,719,500(45%)",183
duocpham,CPC,39.8(-0.4),"3,185",12.6,9%,16%,20,201%,0.3,"4,081,450","2,108,494(52%)",173
duocpham,NDC,23.8(0),0,0,12%,15%,0,0%,0,"5,680,000","2,781,300(49%)",135
duocpham,DDN,14(0),794,17.6,2%,17%,20.5,68%,0,"8,793,896","2,464,500(28%)",123
duocpham,HDP,15.8(0),434,36.4,3%,10%,13.7,115%,0,"5,851,310",0(0%),92
duocpham,DNM,20(0),"3,161",6.3,10%,17%,18.2,110%,0,"4,377,605","2,145,026(49%)",88
duocpham,DTG,24.5(0),0,0,4%,13%,0,0%,0,"3,398,250",0(0%),83
