stock,STT,indicator,2017,2016,2015,2014,2013
NDF,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,-0.10,0.00,0.04,0.05
NDN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.14,0.09,0.14,0.22,0.13
NHA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.12,0.11,0.06,0.00
NHP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,0.05,0.05,-0.02
NHS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.18,0.10,0.15,0.30
NKG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.29,0.33,0.20,0.15,0.16
NLG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.12,0.09,0.05,0.03
NT2,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.22,0.24,0.37,0.00
NTB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.38,0.59,0.80,3.74,-1.94
NTC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.52,0.43,0.26,0.14,0.14
NTL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.08,0.11,0.04,0.11
NTP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.22,0.21,0.22,0.24
NVB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.00,0.00,0.01
NVL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.17,0.07,0.03,0.01
NVT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.49,0.02,-0.15,0.03,0.05
OGC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.57,-0.66,0.33,-2.80,0.03
PAC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.30,0.18,0.15,0.12
PAN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.12,0.15,0.13,0.04
PC1,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.15,0.18,0.49,0.31
PCG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.00,0.03,0.05,0.07
PDR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.16,0.10,0.07,0.03,0.00
PET,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.10,0.13,0.17,0.16
PFL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,0.00,-0.06,-0.04,-0.24
PGC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.15,0.15,0.14,0.12
PGI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.11,0.12,0.10,0.08
PHC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.09,0.08,0.03,0.06
PHH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.06,0.02,0.00,0.01
PHR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.10,0.10,0.12,0.17
PIV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.07,0.33,0.43,0.00
PNC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.02,0.04,0.03,-0.28
PNJ,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.22,0.30,0.06,0.20,0.13
PPC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.29,0.11,0.10,0.19,0.30
PPI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.05,-0.07,0.05,0.07,0.00
PSG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.06,0.30,1.07,-10.00
PTB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.34,0.35,0.35,0.34,0.37
PTL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.00,0.00,-0.16
PV2,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.23,-0.22,0.00,-0.12,-0.56
PVA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.21,1.01,10.00,-1.11,-2.46
PVB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,-0.16,0.16,0.37,0.19
PVC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,-0.03,0.17,0.34,0.19
PVD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.01,0.13,0.22,0.20
PVE,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.10,0.10,0.08,0.05
PVG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.00,0.06,-0.01,0.07
PVI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.08,0.09,0.04,0.05
PVL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.67,0.02,-0.07,0.01,-0.56
PVR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,-0.02,-0.05,0.00,-0.01
PVS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.08,0.13,0.18,0.21
PVT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.14,0.10,0.13,0.11
PVV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.25,-0.28,0.02,0.01,-0.55
PVX,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.05,0.03,0.01,0.01,-2.06
PXA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.52,-0.85,0.00,0.00,-1.03
PXI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.13,-0.05,0.10,0.07,0.01
PXL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,-0.01,-0.03,-0.01
PXM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.22,0.13,0.44,1.35
PXS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.11,0.14,0.19,0.12
PXT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.39,0.69,-7.84,-0.20
QBS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.02,0.10,0.15,0.24
QCG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.01,0.01,0.01,0.00
QNS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.30,0.36,0.47,0.45,0.34
RDP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.12,0.20,0.09,0.13
REE,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.21,0.15,0.13,0.17,0.19
ROS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.10,0.04,0.01,-0.07
S96,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,-0.15,-0.09,0.00,-0.06
S99,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.03,0.03,0.06,0.14,0.02
SAB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.30,0.37,0.26,0.22,0.22
SAM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.01,0.02,0.03,0.05
SBA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.20,0.09,0.08,0.10,0.10
SBS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,-0.05,0.03,0.07,1.40
SBT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.10,0.11,0.07,0.13
SCJ,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.18,-0.01,-0.02,0.08,0.03
SCR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.06,0.07,0.01,0.00
SCR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.06,0.07,0.01,0.00
SD2,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.04,0.05,0.03,0.05
SD3,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.04,0.02,0.04,0.04
SD5,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.08,0.08,0.11,0.07
SD9,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.05,0.11,0.10,0.13
SDI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.22,0.26,0.23,0.51,0.42
SDP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.03,0.02,0.04,0.05
SDU,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.01,0.00,0.01,0.00
SDY,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-10.00,-1.12,-0.95,0.01,0.00
SEC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.08,0.13,0.28,0.46
SGO,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.01,0.07,0.11,0.45
SHA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.15,0.13,0.10,0.06
SHA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.15,0.13,0.10,0.06
SHB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.07,0.07,0.08,0.08
SHI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.12,0.11,0.08,0.02
SHN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.08,0.79,-3.04,0.10
SHS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.21,0.08,0.12,0.13,0.01
SIC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.24,0.22,0.01,0.00,0.01
SJD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.20,0.13,0.17,0.18,0.18
SJS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.09,0.11,0.08,0.04
SKG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.25,0.30,0.34,0.30,0.21
SMB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.26,0.23,0.20,0.17,0.12
SMC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.31,0.49,-0.50,0.04,0.04
SPI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.01,0.01,0.01,0.01
SQC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.03,-0.07,-0.10,-0.13,-0.02
SRC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.19,0.22,0.21,0.22
SSI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.12,0.13,0.13,0.08
SSN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.18,0.03,0.02,-0.21
STB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.00,0.05,0.12,0.13
STC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.14,0.12,0.13,0.16,0.16
STG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.32,0.09,0.14,0.18,0.18
STK,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.04,0.10,0.16,0.15
SVN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.01,0.03,0.01,-0.05
SWC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.41,0.06,0.07,0.05,0.04
TC6,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.00,0.13,0.13,0.19
TCH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.10,0.11,0.35,0.01
TCM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.13,0.17,0.21,0.17
TDC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.11,0.09,0.10,0.12
TDH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.06,0.03,0.03,0.01
TDN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.06,0.06,0.09,0.09
TEG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.17,0.04,0.05,-0.01
THT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.09,0.10,0.16,0.12
THV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),6.31,10.00,-0.74,0.07,0.00
TIG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.05,0.12,0.10,0.05
TIS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.07,0.02,-0.05,-0.18
TLC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.31,-0.39,-0.35,-0.09,0.00
TLH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.26,0.36,-0.21,0.07,0.12
TNG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.16,0.17,0.20,0.07
TNM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.02,0.00,0.01,0.01
TNT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.01,0.07,0.06,-0.24
TOP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.04,0.05,0.10,-0.06
TPC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.07,0.03,0.04,0.07
TSC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.07,0.23,0.00
TTB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.07,0.16,0.21,0.07
TTC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.20,0.22,0.16,0.19
TTF,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-1.04,-9.81,-0.07,0.05,-0.01
TTP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.16,0.11,0.07,0.07
TTZ,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.04,0.04,0.01,0.00
TVB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.20,0.01,0.10,0.01
TVC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.10,0.05,0.12,0.05
TVN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.11,0.03,-0.01,-0.06
TVS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.11,0.16,0.15,0.15
UDC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.02,0.02,0.01,0.00
UNI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.09,0.01,0.01
V11,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.98,-0.18,-0.06,-0.29,-0.12
V12,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.09,0.10,0.12,0.08
VAT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,0.02,0.11,0.13,0.04
VC2,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.06,0.05,0.06,0.04
VC3,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.25,0.18,0.08,0.07
VC9,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.07,0.06,0.06,0.05
VCB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.14,0.12,0.11,0.10
VCG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.09,0.07,0.05,0.09
VCS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.49,0.47,0.41,0.27,0.06
VDS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.06,0.03,0.31,0.01
VE1,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.17,-0.17,0.13,0.18,0.03
VE9,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.60,0.01,0.01,0.04,0.09
VGC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.14,0.12,0.13,0.03
VGS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.14,0.09,0.04,0.03
VHC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.24,0.15,0.25,0.12
VHG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.21,-0.02,0.04,0.10,0.19
VIC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.08,0.04,0.14,0.49
VID,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.05,0.03,0.03,0.08
VIG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,-0.12,0.03,0.04,0.03
VIP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.04,0.07,0.05,0.21,0.14
VIS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.11,-0.09,0.03,-0.04
VIT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.29,0.25,0.19,0.18,0.09
VIX,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.07,0.09,0.20,0.14
VKC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.15,0.13,0.07,0.02
VKD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.19,0.23,0.27,0.30
VMI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.11,0.11,0.11,0.05
VNA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),10.00,-1.27,-0.23,0.02,-0.51
VNE,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.01,0.11,0.12,0.02
VNG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.04,0.03,0.01,0.00,0.00
VNH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-2.97,-0.22,-1.12,0.07,-0.13
VNM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.43,0.42,0.37,0.31,0.37
VNP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.49,0.42,0.47,-1.16,-0.09
VNR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.09,0.09,0.13,0.12
VNS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.20,0.23,0.24,0.19
VOS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.89,-0.57,-0.29,0.06,-0.16
VPD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.05,0.04,0.07,0.05
VPH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.28,0.12,0.18,0.01,0.03
VRC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.01,-0.04,0.01,0.01
VSC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.16,0.17,0.19,0.20,0.27
VSH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.09,0.09,0.12,0.08
VSP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),1.31,-1.12,0.00,-0.30,0.19
VST,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.48,0.56,0.95,-0.61,-0.73
VTO,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.08,0.05,0.05,0.04
WSB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.21,0.22,0.21,0.23,0.16
